member_id,customer_name,gender,age,city,region,membership_tier,join_date,preferred_store_format,is_active_member
M00136,Alfred Galvan,Male,26,Wuhan,Central China,Diamond,2025-09-15,Community Warehouse,1
M00137,Raven Taylor,Male,37,Tianjin,North China,Gold,2023-07-01,Community Warehouse,1
M00138,Melissa Taylor,Male,31,Xiamen,South China,Silver,2025-03-03,Community Warehouse,1
M00139,Aaron Miller,Male,39,Suzhou,East China,Silver,2023-05-16,Warehouse Outlet,1
M00140,Kimberly Acosta,Unknown,43,Hangzhou,East China,Platinum,2024-06-17,Warehouse Outlet,1
M00141,Dwayne Turner,Male,32,Suzhou,East China,Gold,2022-07-16,Warehouse Outlet,1
M00142,Riley Bryant,Unknown,18,Chongqing,West China,Gold,2022-10-16,Warehouse Outlet,1
M00143,Linda Smith,Male,36,Shanghai,East China,Gold,2024-05-29,Warehouse Outlet,1
M00144,Charles Patterson,Female,31,Hangzhou,East China,Gold,2024-10-22,Shopping Center Warehouse,1
M00145,Jason Beck,Female,37,Changsha,Central China,Gold,2022-09-10,Shopping Center Warehouse,1
M00146,Andrea Fox,Male,36,Shanghai,East China,Silver,2024-05-18,Pop-up Clearance Warehouse,1
M00147,Kristen Myers DDS,Female,23,Nanjing,East China,Gold,2024-11-21,Warehouse Outlet,1
M00148,Mrs. Alexis Kramer,Unknown,34,Shenzhen,South China,Silver,2023-09-23,Pop-up Clearance Warehouse,1
M00149,Lori Ingram,Female,41,Shanghai,East China,Diamond,2025-04-16,Shopping Center Warehouse,0
M00150,Andrew Payne,Male,18,Nanjing,East China,Silver,2025-08-08,Shopping Center Warehouse,1
M00151,Richard Marshall,Male,28,Tianjin,North China,Silver,2025-02-16,Warehouse Outlet,1
M00152,Robin Brown,Female,27,Nanjing,East China,Silver,2025-06-15,Warehouse Outlet,1
M00153,Edward Williams,Female,26,Chongqing,West China,Gold,2023-02-23,Warehouse Outlet,1
M00154,Timothy Robertson,Male,41,Qingdao,North China,Silver,2026-04-22,Mall Warehouse,1
M00155,Dawn Mullins,Male,19,Suzhou,East China,Silver,2023-02-11,Community Warehouse,1
M00156,Richard Glenn,Female,46,Chengdu,West China,Silver,2023-09-04,Mall Warehouse,1
M00157,Jacob Preston,Female,30,Wuhan,Central China,Platinum,2025-04-27,Warehouse Outlet,1
M00158,Jasmine Beltran,Female,61,Wuhan,Central China,Silver,2024-05-01,Warehouse Outlet,1
M00159,Tim Stone PhD,Female,29,Tianjin,North China,Silver,2025-04-04,Warehouse Outlet,1
M00160,Lance Short,Male,30,Xi'an,West China,Silver,2024-07-12,Warehouse Outlet,1
M00161,Bobby Guerrero,Male,34,Tianjin,North China,Platinum,2023-07-29,Shopping Center Warehouse,1
M00162,Jessica Norris,Male,28,Wuhan,Central China,Silver,2023-10-03,Shopping Center Warehouse,1
M00163,Sergio Gomez,Male,29,Shenzhen,South China,Silver,2026-05-05,Shopping Center Warehouse,1
M00164,William Gould,Female,37,Xiamen,South China,Gold,2022-08-25,Warehouse Outlet,0
M00165,Heidi Owen,Male,32,Chongqing,West China,Silver,2025-01-24,Community Warehouse,1
M00166,Brenda Lawson,Male,42,Hangzhou,East China,Silver,2025-06-22,Warehouse Outlet,1
M00167,Austin Osborne,Female,28,Hangzhou,East China,Silver,2023-10-25,Shopping Center Warehouse,1
M00168,Keith Jacobs,Male,43,Chongqing,West China,Silver,2025-01-24,Mall Warehouse,1
M00169,Jacqueline Hines,Male,32,Qingdao,North China,Platinum,2024-08-23,Mall Warehouse,1
M00170,Jennifer Banks,Male,40,Changsha,Central China,Silver,2023-05-07,Mall Warehouse,1
M00171,Noah Porter,Male,22,Shanghai,East China,Silver,2023-11-24,Warehouse Outlet,1
M00172,Deborah Green,Female,28,Guangzhou,South China,Silver,2024-02-19,Warehouse Outlet,1
M00173,Donna Hendricks DDS,Unknown,30,Chongqing,West China,Silver,2022-11-03,Warehouse Outlet,1
M00174,Jodi Roach,Female,25,Chengdu,West China,Gold,2024-02-17,Warehouse Outlet,1
M00175,Michael Bruce,Female,30,Chengdu,West China,Gold,2023-08-17,Mall Warehouse,1
M00176,Austin Daniels,Unknown,32,Changsha,Central China,Silver,2025-11-30,Shopping Center Warehouse,1
M00177,Michelle Ho,Unknown,29,Suzhou,East China,Gold,2024-11-24,Warehouse Outlet,1
M00178,Katie Martinez,Female,18,Shenzhen,South China,Silver,2023-02-25,Community Warehouse,1
M00179,Richard Johnson,Female,19,Xiamen,South China,Silver,2024-07-25,Mall Warehouse,1
M00180,Robert Arnold,Male,29,Xiamen,South China,Silver,2024-10-18,Warehouse Outlet,1
M00181,Eric Key,Male,27,Chongqing,West China,Silver,2025-03-23,Warehouse Outlet,1
M00182,Patricia Morrow,Female,41,Qingdao,North China,Platinum,2022-08-23,Community Warehouse,1
M00183,Maria Cole,Male,27,Chongqing,West China,Gold,2025-01-25,Mall Warehouse,1
M00184,Shawn Deleon,Male,27,Beijing,North China,Gold,2024-11-27,Warehouse Outlet,1
M00185,Vincent Reynolds,Male,31,Qingdao,North China,Silver,2025-12-28,Community Warehouse,1
M00186,Caleb Hernandez,Unknown,35,Beijing,North China,Silver,2023-01-03,Warehouse Outlet,1
M00187,Michael Reed,Female,39,Beijing,North China,Silver,2026-02-10,Warehouse Outlet,1
M00188,Sarah King,Male,38,Shanghai,East China,Platinum,2024-11-20,Warehouse Outlet,1
M00189,Beth Turner,Male,33,Tianjin,North China,Silver,2024-06-25,Pop-up Clearance Warehouse,1
M00190,Caroline David,Male,27,Xi'an,West China,Platinum,2022-12-19,Community Warehouse,0
M00191,Michelle Jacobs,Male,22,Chengdu,West China,Gold,2025-09-19,Warehouse Outlet,0
M00192,Samantha Johnson,Female,34,Xi'an,West China,Platinum,2022-07-13,Shopping Center Warehouse,0
M00193,Laura Curtis,Male,31,Suzhou,East China,Silver,2025-06-01,Community Warehouse,1
M00194,Mark Jimenez,Male,24,Shanghai,East China,Platinum,2024-11-09,Warehouse Outlet,1
M00195,Tyler Webb,Male,29,Guangzhou,South China,Silver,2025-07-26,Mall Warehouse,1
M00196,Elizabeth Jones,Male,36,Shanghai,East China,Silver,2022-08-03,Warehouse Outlet,1
M00197,John Harris,Female,21,Beijing,North China,Silver,2024-10-10,Community Warehouse,1
M00198,Nathan Gross,Female,18,Xi'an,West China,Platinum,2025-10-16,Mall Warehouse,1
M00199,Bianca Wood,Male,35,Changsha,Central China,Platinum,2024-08-05,Warehouse Outlet,1
M00200,John Adams,Female,37,Xi'an,West China,Silver,2023-05-05,Warehouse Outlet,0
M00201,Dylan Cruz,Male,35,Hangzhou,East China,Gold,2024-10-23,Warehouse Outlet,1
M00202,Sean Moore,Male,32,Guangzhou,South China,Silver,2023-08-29,Warehouse Outlet,1
M00203,Emily Hines,Female,36,Nanjing,East China,Gold,2024-05-04,Shopping Center Warehouse,1
M00204,Kathleen Parker,Male,52,Nanjing,East China,Silver,2022-06-10,Mall Warehouse,0
M00205,Kathy Levy,Male,28,Chengdu,West China,Silver,2023-03-18,Pop-up Clearance Warehouse,0
M00206,Anthony Simpson,Male,27,Changsha,Central China,Gold,2025-11-17,Pop-up Clearance Warehouse,1
M00207,Julie Herrera,Female,25,Nanjing,East China,Silver,2025-09-26,Mall Warehouse,1
M00208,Stephen Luna,Male,40,Shanghai,East China,Platinum,2025-05-27,Warehouse Outlet,1
M00209,James Hudson,Male,37,Shanghai,East China,Platinum,2023-02-16,Shopping Center Warehouse,1
M00210,Angel Gordon,Male,38,Chongqing,West China,Gold,2025-05-28,Warehouse Outlet,1
M00211,William Becker,Male,41,Nanjing,East China,Silver,2022-10-28,Community Warehouse,1
M00212,Jennifer Norton,Unknown,31,Tianjin,North China,Silver,2023-09-15,Warehouse Outlet,1
M00213,Nicole Gonzalez,Unknown,35,Xiamen,South China,Gold,2024-05-20,Mall Warehouse,1
M00214,Amber Taylor,Female,35,Chongqing,West China,Silver,2023-09-06,Shopping Center Warehouse,1
M00215,Jesus Obrien,Male,26,Changsha,Central China,Silver,2024-05-30,Mall Warehouse,1
M00216,Louis Martin,Unknown,38,Beijing,North China,Silver,2026-04-24,Community Warehouse,0
M00217,Elizabeth Rogers,Female,29,Nanjing,East China,Gold,2025-08-30,Shopping Center Warehouse,1
M00218,Michelle Evans,Male,23,Chongqing,West China,Gold,2025-08-11,Warehouse Outlet,1
M00219,Michael Whitney,Female,32,Beijing,North China,Gold,2024-09-06,Community Warehouse,0
M00220,Molly Watts,Female,31,Xi'an,West China,Silver,2022-06-15,Warehouse Outlet,0
M00221,Walter Patton,Female,29,Shenzhen,South China,Silver,2025-06-14,Pop-up Clearance Warehouse,1
M00222,Mikayla Silva,Female,33,Suzhou,East China,Diamond,2023-01-12,Pop-up Clearance Warehouse,1
M00223,Lisa Randall,Male,20,Hangzhou,East China,Silver,2022-12-09,Shopping Center Warehouse,0
M00224,Amanda Vaughan,Female,27,Beijing,North China,Silver,2022-10-15,Warehouse Outlet,1
M00225,Erik Hernandez,Female,31,Xiamen,South China,Platinum,2025-02-09,Warehouse Outlet,1
M00226,Reginald Knapp,Unknown,26,Changsha,Central China,Silver,2025-11-03,Warehouse Outlet,1
M00227,Amy Taylor,Female,18,Guangzhou,South China,Silver,2023-03-06,Shopping Center Warehouse,1
M00228,Matthew Fox,Female,28,Chongqing,West China,Silver,2023-08-09,Pop-up Clearance Warehouse,1
M00229,Thomas Peterson,Male,32,Tianjin,North China,Silver,2023-10-07,Mall Warehouse,1
M00230,Michelle Schneider,Male,33,Changsha,Central China,Gold,2025-02-13,Warehouse Outlet,0
M00231,Cheryl Wright,Male,18,Wuhan,Central China,Gold,2024-07-31,Mall Warehouse,1
M00232,William Evans,Male,36,Wuhan,Central China,Platinum,2023-07-04,Warehouse Outlet,1
M00233,Michael Stewart,Male,39,Beijing,North China,Silver,2023-09-29,Warehouse Outlet,1
M00234,Rebecca Hill,Female,29,Shanghai,East China,Gold,2022-11-02,Mall Warehouse,1
M00235,Jamie Baird,Female,35,Shenzhen,South China,Gold,2025-08-15,Mall Warehouse,1
M00236,Regina Roberts,Male,31,Qingdao,North China,Diamond,2023-07-02,Shopping Center Warehouse,1
M00237,Hannah Ramos,Female,45,Guangzhou,South China,Gold,2023-05-17,Warehouse Outlet,1
M00238,Dale Ryan,Male,33,Chengdu,West China,Gold,2026-01-30,Pop-up Clearance Warehouse,1
M00239,Breanna Gilbert,Male,31,Qingdao,North China,Gold,2024-09-11,Mall Warehouse,1
M00240,Michael Schmidt,Male,34,Changsha,Central China,Gold,2024-11-25,Mall Warehouse,1
M00241,Jason Love,Male,32,Changsha,Central China,Silver,2022-10-01,Mall Warehouse,0
M00242,Abigail Pierce,Male,56,Tianjin,North China,Platinum,2026-01-24,Community Warehouse,1
M00243,Timothy Johns,Male,21,Xi'an,West China,Gold,2024-04-04,Community Warehouse,1
M00244,Victor Morris,Female,43,Xiamen,South China,Silver,2024-12-06,Pop-up Clearance Warehouse,1
M00245,Ann Andrews,Female,25,Xiamen,South China,Silver,2024-06-27,Warehouse Outlet,1
M00246,Taylor Gentry,Female,21,Hangzhou,East China,Diamond,2023-01-18,Community Warehouse,1
M00247,Casey Gillespie,Male,47,Beijing,North China,Gold,2026-05-03,Mall Warehouse,1
M00248,Jon Zuniga,Male,24,Shanghai,East China,Silver,2026-03-13,Shopping Center Warehouse,1
M00249,Sherri Smith,Female,34,Qingdao,North China,Platinum,2024-08-14,Community Warehouse,1
M00250,William Mitchell,Male,18,Chongqing,West China,Gold,2026-04-22,Shopping Center Warehouse,1
M00251,Kathleen Mays,Male,28,Hangzhou,East China,Silver,2025-10-02,Warehouse Outlet,0
M00252,Corey Rodriguez,Female,18,Nanjing,East China,Platinum,2022-12-31,Warehouse Outlet,1
M00253,David Lopez,Female,40,Nanjing,East China,Silver,2025-04-18,Warehouse Outlet,1
M00254,Laura Todd,Male,44,Chengdu,West China,Silver,2023-01-19,Community Warehouse,1
M00255,Stephanie Wilcox,Female,34,Shanghai,East China,Silver,2024-05-29,Shopping Center Warehouse,0
M00256,Michael Lopez,Unknown,36,Suzhou,East China,Platinum,2022-11-29,Warehouse Outlet,1
M00257,David Green,Female,39,Qingdao,North China,Diamond,2023-04-17,Community Warehouse,1
M00258,Tiffany Turner,Female,45,Nanjing,East China,Gold,2025-03-29,Shopping Center Warehouse,1
M00259,Matthew Schwartz,Female,44,Shanghai,East China,Gold,2022-08-06,Warehouse Outlet,1
M00260,Eric Sullivan,Male,37,Suzhou,East China,Silver,2024-05-11,Warehouse Outlet,1
M00261,Michele Collins,Female,39,Beijing,North China,Gold,2022-10-26,Mall Warehouse,1
M00262,Elizabeth Mendez,Female,28,Wuhan,Central China,Silver,2023-03-24,Community Warehouse,1
M00263,Christian Adkins,Male,22,Suzhou,East China,Silver,2024-10-08,Community Warehouse,1
M00264,Joshua Ruiz,Unknown,18,Wuhan,Central China,Platinum,2024-07-01,Warehouse Outlet,1
M00265,Colleen Wright,Male,25,Changsha,Central China,Platinum,2025-05-14,Shopping Center Warehouse,1
M00266,Angela Griffin,Female,39,Guangzhou,South China,Gold,2025-03-01,Warehouse Outlet,0
M00267,Justin Brown,Male,45,Tianjin,North China,Gold,2024-07-16,Shopping Center Warehouse,1
M00268,Laura Hernandez,Male,25,Guangzhou,South China,Silver,2023-08-30,Mall Warehouse,1
M00269,Audrey Harris,Female,38,Hangzhou,East China,Silver,2024-09-05,Community Warehouse,1
M00270,Jordan Stokes,Male,42,Qingdao,North China,Silver,2024-02-29,Shopping Center Warehouse,1
M00271,Joyce Brown,Female,32,Tianjin,North China,Silver,2024-03-13,Shopping Center Warehouse,0
M00272,Miranda Foster,Female,26,Shenzhen,South China,Gold,2025-08-12,Shopping Center Warehouse,1
M00273,Laura Williams,Female,18,Wuhan,Central China,Silver,2023-09-23,Shopping Center Warehouse,1
M00274,Zachary Michael,Male,22,Xiamen,South China,Diamond,2022-08-16,Warehouse Outlet,1
M00275,Amanda Ortiz,Female,22,Hangzhou,East China,Gold,2025-06-04,Warehouse Outlet,1
M00276,Veronica Brewer,Male,32,Beijing,North China,Gold,2024-01-12,Shopping Center Warehouse,1
M00277,Janet Kane DVM,Male,31,Xi'an,West China,Silver,2023-11-07,Warehouse Outlet,1
